Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,21.8,23,24.8,26.1,27.4,28.6,29.7,30.9,31.9,33.2
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,43.2220191955566,69.0999984741211,68.2906494140625,89.5,71.5,97.6999969482422,97.6999969482422,96.6161346435547,97.6999969482422,97.6999969482422
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,29.5728797912598,60.8491554260254,60.5661354064941,86.5005111694336,64.573356628418,97.0993576049805,97.0919723510742,95.5861740112305,97.0756301879883,97.0667114257813
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,86.5677795410156,95,92.2590484619141,98.6999969482422,92.5,99.5,99.5,99.6260223388672,99.5,99.5
Afghanistan,AFG,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,9.01,..,..,9.96,..,..,14.89,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,2.62,..,..,3.81,..,..,7.16,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,15.42,..,..,15.78,..,..,22.54,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,10.54,..,..,11.51,..,..,18.02,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,1.13,..,..,6.07,..,..,13.8,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,5.32,..,..,4.83,..,..,8.89,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,14.24,..,..,12.55,..,..,15.62,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,29.97,..,..,22.6,..,..,30.56,..,..,..
Afghanistan,AFG,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,6.3,..,..,7.45,..,..,9.75,..,..,..
Afghanistan,AFG,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,107.256,100.797,94.429,88.061,81.693,75.325,68.957,65.141,61.325,57.509
Afghanistan,AFG,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,617.65195352011,708.898328123318,687.884952285777,667.476027509854,612.675697043218,632.952293955418,..,..,..,..
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,1033.99807823704,1214.31547954866,1190.34507864943,1161.95867756778,1073.34520324316,1119.92613041193,1191.8822300237,1118.64521979987,1284.51034261624,..
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,109.421117469991,116.660723422675,84.621216,34.283472,33.102038592,29.010880897,21.462556513,29.5593487980126,20.0142059549175,19.878902393
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,2279341.17952861,1737962.12640656,2044188,2209428,1929907,1917924,1647425,1125367,1066747.35619248,449041.025
Afghanistan,AFG,Annual deforestation (% of change) - (for online table only),ER.FST.DFST.ZG,..,..,..,..,0,..,..,..,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,98.1696273,..,..,..,..,98.1696273,..,..,..
Afghanistan,AFG,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,..,0.9983851096,..,..,..,..,0.9983851096,..,..,..
